leg_front_r_1,leg_front_r_2,leg_front_r_3,leg_front_l_1,leg_front_l_2,leg_front_l_3,leg_back_r_1,leg_back_r_2,leg_back_r_3,leg_back_l_1,leg_back_l_2,leg_back_l_3
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
0.480236,0.086218,-0.562216,-0.583508,0.005227,0.781154,0.395548,0.040441,-0.913358,-0.352061,-0.064855,0.741477
