leg_front_r_1,leg_front_r_2,leg_front_r_3,leg_front_l_1,leg_front_l_2,leg_front_l_3,leg_back_r_1,leg_back_r_2,leg_back_r_3,leg_back_l_1,leg_back_l_2,leg_back_l_3
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
0.670000,-0.035445,-1.330000,-0.733348,-0.051613,1.480000,0.471787,0.024909,-1.303414,-0.548954,-0.090933,1.244667
