leg_front_r_1,leg_front_r_2,leg_front_r_3,leg_front_l_1,leg_front_l_2,leg_front_l_3,leg_back_r_1,leg_back_r_2,leg_back_r_3,leg_back_l_1,leg_back_l_2,leg_back_l_3
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
-1.420000,0.019078,-0.040409,-0.051840,-0.004201,0.020000,0.089224,0.011449,0.138446,-0.061757,0.003047,-0.188636
