leg_front_r_1,leg_front_r_2,leg_front_r_3,leg_front_l_1,leg_front_l_2,leg_front_l_3,leg_back_r_1,leg_back_r_2,leg_back_r_3,leg_back_l_1,leg_back_l_2,leg_back_l_3
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
0.824464,0.055045,-1.480000,-0.965633,0.000980,1.600000,0.247452,-0.040000,-0.048420,-0.299224,-0.131421,-0.031279
